# Sample Data of FSS with correction to scaling
#
# Comment lines are started by the character '#'
#
# Format of data file of "main_fss.cc" as follows:
#
# Answer: T_c = 0.3, c_1 = 1, c_2 = 0, a = 2, w = 1
#
# L T A(T,L) Error
16 0.106325 6.22873 0.1
16 0.119714 6.33506 0.1
16 0.137826 6.50272 0.1
16 0.143104 6.68047 0.1
16 0.167124 6.97006 0.1
16 0.168386 6.98456 0.1
16 0.18078 7.15306 0.1
16 0.200198 7.3372 0.1
16 0.210314 7.49665 0.1
16 0.228422 7.834 0.1
16 0.232453 7.91912 0.1
16 0.242338 8.07028 0.1
16 0.265165 8.40603 0.1
16 0.267863 8.3854 0.1
16 0.287734 8.87747 0.1
16 0.299764 8.91929 0.1
16 0.314781 9.33798 0.1
16 0.319582 9.30013 0.1
16 0.332484 9.55954 0.1
16 0.343332 9.81071 0.1
16 0.367101 10.2844 0.1
16 0.373811 10.4568 0.1
16 0.390495 10.7662 0.1
16 0.392211 10.7925 0.1
16 0.411562 11.3123 0.1
16 0.426408 11.5244 0.1
16 0.431832 11.6244 0.1
16 0.444882 12.016 0.1
16 0.462478 12.4573 0.1
16 0.467629 12.5874 0.1
32 0.203979 5.85813 0.1
32 0.213351 6.07848 0.1
32 0.220243 6.26011 0.1
32 0.227146 6.38412 0.1
32 0.227649 6.32533 0.1
32 0.235254 6.63122 0.1
32 0.243103 6.87513 0.1
32 0.249815 6.96213 0.1
32 0.254466 7.1505 0.1
32 0.260951 7.36147 0.1
32 0.267849 7.52882 0.1
32 0.276087 7.62709 0.1
32 0.283511 8.0095 0.1
32 0.287725 8.18173 0.1
32 0.295146 8.28449 0.1
32 0.296401 8.42213 0.1
32 0.303388 8.65924 0.1
32 0.313562 8.87741 0.1
32 0.316953 9.13604 0.1
32 0.322527 9.3845 0.1
32 0.330905 9.62098 0.1
32 0.335897 9.78317 0.1
32 0.344575 10.2233 0.1
32 0.346501 10.2976 0.1
32 0.358066 10.6956 0.1
32 0.360045 10.8069 0.1
32 0.367118 10.9897 0.1
32 0.37293 11.2644 0.1
32 0.382096 11.7722 0.1
32 0.384427 11.8542 0.1
64 0.253366 5.79896 0.1
64 0.257269 5.97986 0.1
64 0.260483 5.98365 0.1
64 0.261565 6.02865 0.1
64 0.266258 6.27958 0.1
64 0.266999 6.4397 0.1
64 0.272049 6.60819 0.1
64 0.276018 6.91186 0.1
64 0.277693 6.95259 0.1
64 0.281149 7.06433 0.1
64 0.284113 7.33713 0.1
64 0.28631 7.30187 0.1
64 0.29151 7.73166 0.1
64 0.293895 7.91077 0.1
64 0.297228 8.09315 0.1
64 0.298191 8.08081 0.1
64 0.302256 8.39446 0.1
64 0.304614 8.59874 0.1
64 0.309585 8.97715 0.1
64 0.312628 9.08607 0.1
64 0.315009 9.20109 0.1
64 0.31847 9.61689 0.1
64 0.322534 9.92939 0.1
64 0.32581 10.1496 0.1
64 0.328117 10.4056 0.1
64 0.329314 10.5112 0.1
64 0.333921 10.8655 0.1
64 0.33793 11.0591 0.1
64 0.341532 11.5349 0.1
64 0.342688 11.5417 0.1
